side,creature_id,samples,MOVE,MELEE_ATTACK,RANGED_ATTACK,WAIT,DEFEND,HERO_ACTION,CAST_OR_ABILITY,ABILITY,ATTACK
PVE,1301,11,0.096774194,0.290322581,0.419354839,0.032258065,0.032258065,0.032258065,0.032258065,0.032258065,0.032258065
PVE,1302,10,0.172413793,0.310344828,0.241379310,0.034482759,0.103448276,0.034482759,0.034482759,0.034482759,0.034482759
PVE,1303,10,0.034482759,0.103448276,0.655172414,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759
PVE,1310,19,0.021276596,0.234042553,0.234042553,0.021276596,0.021276596,0.021276596,0.404255319,0.021276596,0.021276596
PVE,1311,3,0.066666667,0.066666667,0.466666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667
PVE,1313,25,0.016949153,0.423728814,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.457627119,0.016949153
PVE,1314,21,0.019607843,0.568627451,0.019607843,0.019607843,0.019607843,0.019607843,0.019607843,0.294117647,0.019607843
PVE,1315,9,0.037037037,0.111111111,0.333333333,0.037037037,0.037037037,0.037037037,0.333333333,0.037037037,0.037037037
PVE,1316,2,0.076923077,0.076923077,0.230769231,0.076923077,0.076923077,0.076923077,0.230769231,0.076923077,0.076923077
PVE,1317,15,0.282051282,0.487179487,0.025641026,0.076923077,0.025641026,0.025641026,0.025641026,0.025641026,0.025641026
PVE,1318,6,0.142857143,0.428571429,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.142857143,0.047619048
PVE,1319,20,0.020408163,0.306122449,0.551020408,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163
PVE,1324,9,0.259259259,0.481481481,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037
PVE,1325,14,0.351351351,0.459459459,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027
PVE,1326,5,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.578947368,0.052631579,0.052631579,0.052631579
PVE,1327,8,0.040000000,0.040000000,0.040000000,0.040000000,0.040000000,0.680000000,0.040000000,0.040000000,0.040000000
PVE,1328,9,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.703703704,0.037037037,0.037037037,0.037037037
PVE,1329,2,0.384615385,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077
PVE,1330,10,0.310344828,0.448275862,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759
PVE,1334,4,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.529411765,0.058823529,0.058823529,0.058823529
PVE,1336,18,0.244444444,0.600000000,0.022222222,0.022222222,0.022222222,0.022222222,0.022222222,0.022222222,0.022222222
PVE,1337,5,0.052631579,0.052631579,0.578947368,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579
PVE,1339,9,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.703703704,0.037037037
PVE,1340,12,0.030303030,0.272727273,0.515151515,0.030303030,0.030303030,0.030303030,0.030303030,0.030303030,0.030303030
PVE,1341,45,0.030303030,0.737373737,0.171717172,0.010101010,0.010101010,0.010101010,0.010101010,0.010101010,0.010101010
PVE,1343,35,0.063291139,0.848101266,0.012658228,0.012658228,0.012658228,0.012658228,0.012658228,0.012658228,0.012658228
PVE,1344,32,0.068493151,0.835616438,0.013698630,0.013698630,0.013698630,0.013698630,0.013698630,0.013698630,0.013698630
PVE,1345,22,0.320754717,0.320754717,0.018867925,0.056603774,0.018867925,0.018867925,0.018867925,0.207547170,0.018867925
PVE,1346,37,0.012048193,0.325301205,0.012048193,0.036144578,0.012048193,0.012048193,0.012048193,0.566265060,0.012048193
PVE,1347,26,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.868852459,0.016393443,0.016393443,0.016393443
PVE,1348,45,0.494949495,0.414141414,0.010101010,0.030303030,0.010101010,0.010101010,0.010101010,0.010101010,0.010101010
PVE,1349,5,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.578947368,0.052631579
PVE,1350,5,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.578947368,0.052631579
PVE,1351,3,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.466666667,0.066666667
PVE,1352,5,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.578947368,0.052631579
PVE,1353,5,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.578947368,0.052631579
PVE,1356,3,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.466666667,0.066666667,0.066666667,0.066666667
PVE,1361,6,0.142857143,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.523809524,0.047619048,0.047619048
PVE,1363,48,0.542857143,0.352380952,0.009523810,0.047619048,0.009523810,0.009523810,0.009523810,0.009523810,0.009523810
PVE,1368,28,0.015384615,0.107692308,0.784615385,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615
PVE,1381,9,0.407407407,0.259259259,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.111111111,0.037037037
PVE,1392,6,0.047619048,0.428571429,0.238095238,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048
PVE,1400,1,0.090909091,0.272727273,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091
PVE,1428,6,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.619047619,0.047619048,0.047619048,0.047619048
PVE,1434,1,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.272727273,0.090909091,0.090909091,0.090909091
PVE,1439,3,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.466666667,0.066666667,0.066666667,0.066666667
PVE,1444,12,0.030303030,0.030303030,0.030303030,0.030303030,0.030303030,0.757575758,0.030303030,0.030303030,0.030303030
PVE,1447,13,0.028571429,0.028571429,0.028571429,0.028571429,0.028571429,0.771428571,0.028571429,0.028571429,0.028571429
PVE,1448,10,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.724137931,0.034482759,0.034482759,0.034482759
PVE,1459,20,0.306122449,0.510204082,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0.061224490,0.020408163
PLAYER,0,27820,0.094646804,0.368649931,0.213786411,0.084763428,0.053172564,0.112580639,0.043217308,0.029164945,0.000017970
