action_type,creature_id,samples,multiplier,q10,q50,q90
MELEE_ATTACK,311,63,1.302579507,0.961832331,1.348051948,2.616203027
MELEE_ATTACK,314,7,1.216701717,1.133263689,1.363567649,3.543365935
MELEE_ATTACK,315,135,1.428220629,1.002438824,1.471208924,2.988424823
MELEE_ATTACK,316,82,0.500679720,0.262530215,0.407127382,1.672693878
MELEE_ATTACK,317,60,1.433728851,1.154521668,1.534624494,2.861419639
MELEE_ATTACK,318,117,1.565997161,0.977834239,1.646221532,3.089826994
MELEE_ATTACK,320,139,1.968394279,1.219876093,2.121612690,4.741197627
MELEE_ATTACK,323,3,1.140451749,0.547942994,0.966447368,1.019734177
MELEE_ATTACK,324,7,1.088239129,0.366370223,0.886666667,0.940661932
MELEE_ATTACK,325,7,1.126825458,0.687886610,1.014209968,1.247358131
MELEE_ATTACK,330,34,2.182187576,1.370972595,3.150080849,5.414848072
MELEE_ATTACK,332,73,1.618605572,1.198019531,1.769488283,2.519540263
MELEE_ATTACK,333,72,1.864288643,1.495993881,2.122292398,3.772452934
MELEE_ATTACK,335,177,3.092155032,1.672383665,3.451358093,5.893884984
MELEE_ATTACK,336,8,1.245226060,0.926215748,1.457855227,2.170847520
MELEE_ATTACK,337,44,1.598654355,1.142858973,1.842994562,3.497482778
MELEE_ATTACK,340,2,1.042645478,0.245309796,0.331807414,0.448804581
MELEE_ATTACK,352,11,0.960247727,0.578064516,0.671379310,0.958510638
MELEE_ATTACK,353,23,1.017471012,0.556686185,0.901680672,1.352813128
MELEE_ATTACK,355,47,0.890314067,0.496812198,0.792857143,1.352610970
MELEE_ATTACK,356,43,0.909603217,0.268198948,0.809375000,1.228333851
MELEE_ATTACK,357,17,0.859241768,0.440002548,0.598090278,0.884387703
MELEE_ATTACK,358,20,1.007674811,0.578210943,0.868518519,1.378346280
MELEE_ATTACK,359,20,0.978969325,0.611823204,0.819740601,1.313991216
MELEE_ATTACK,360,26,0.875726665,0.505889912,0.701189466,1.333631767
MELEE_ATTACK,361,3,1.152853214,1.042493280,1.050000000,1.274601274
MELEE_ATTACK,362,13,0.945721987,0.475733390,0.682454800,1.292134451
MELEE_ATTACK,363,29,0.804601971,0.292035012,0.621818182,0.863934956
MELEE_ATTACK,364,22,0.835371718,0.246499243,0.615416167,1.352573279
MELEE_ATTACK,370,17,1.040610588,0.610429645,0.907381723,1.043146602
MELEE_ATTACK,371,17,0.884511783,0.146604938,0.637037037,0.907338729
MELEE_ATTACK,378,7,1.306677694,1.114388670,1.795509796,2.898118453
MELEE_ATTACK,386,3,1.267339867,2.062830137,2.169879394,3.497497026
MELEE_ATTACK,388,12,1.060676854,0.653217458,0.901817602,2.371597507
MELEE_ATTACK,389,10,1.005035247,0.426050626,0.742711990,1.187588071
MELEE_ATTACK,390,14,1.056198629,0.514901440,0.913529481,1.764285714
MELEE_ATTACK,391,20,0.963468538,0.514768008,0.793986930,1.544549069
MELEE_ATTACK,392,43,1.044670713,0.504249948,0.991387560,2.026197095
MELEE_ATTACK,393,62,0.928574058,0.489623231,0.862072734,1.909759831
MELEE_ATTACK,397,1,1.132806432,0.602608696,0.602608696,0.602608696
MELEE_ATTACK,399,34,1.682535927,0.631173621,2.084327172,2.538051032
MELEE_ATTACK,401,6,1.075931378,0.348433997,0.815694270,1.648863245
MELEE_ATTACK,402,5,1.137914253,0.888444012,1.021176471,1.940747390
