action_type,creature_id,samples,multiplier,q10,q50,q90
MELEE_ATTACK,117,51,1.312140554,0.749482402,1.361702128,2.278409091
MELEE_ATTACK,118,303,1.031304674,0.640082951,1.021394065,2.282058955
MELEE_ATTACK,119,30,1.657530026,1.153739362,2.062948676,3.566910857
MELEE_ATTACK,120,6,1.263959408,0.668782577,1.529116692,2.217470323
MELEE_ATTACK,121,126,1.521057257,0.730301196,1.580694323,2.758048101
MELEE_ATTACK,123,10,1.104068706,0.771352915,0.944379496,1.082457001
MELEE_ATTACK,124,2,1.203954430,1.276925343,1.310695411,1.345358575
MELEE_ATTACK,125,6,1.227793024,0.958913607,1.348360785,2.003919422
MELEE_ATTACK,126,4,1.120230391,0.638482900,0.815154113,0.908010747
MELEE_ATTACK,131,17,1.478018176,1.481801523,1.900237530,3.229314586
MELEE_ATTACK,132,15,1.132447593,0.906969286,1.055555556,1.220652251
MELEE_ATTACK,133,68,0.916605021,0.585576571,0.848077559,1.271095858
MELEE_ATTACK,145,21,1.068895418,0.507692308,0.962131837,1.320910973
MELEE_ATTACK,146,17,1.179690080,0.674538873,1.163337250,1.262861955
MELEE_ATTACK,147,169,1.697229835,0.850638472,1.769399249,3.838649727
MELEE_ATTACK,148,161,1.883097415,1.402247646,1.992797119,4.131344846
MELEE_ATTACK,149,53,1.435906364,1.174686392,1.539544513,3.258217643
MELEE_ATTACK,150,19,1.212723398,0.813061941,1.232998885,4.484815639
MELEE_ATTACK,153,25,1.089966921,0.389544319,1.013461538,1.389929455
MELEE_ATTACK,154,11,1.080640976,0.496153846,0.901704545,1.158954248
MELEE_ATTACK,155,15,1.145888222,0.867546347,1.085019213,1.727057216
MELEE_ATTACK,156,26,1.078649064,0.664118770,0.997706278,1.483815122
MELEE_ATTACK,157,1,1.160987843,0.665217391,0.665217391,0.665217391
MELEE_ATTACK,158,12,1.086837031,0.776721786,0.929473500,1.410190731
MELEE_ATTACK,159,1,1.176772424,0.883333333,0.883333333,0.883333333
MELEE_ATTACK,160,42,1.168026032,0.983672039,1.155962596,2.941879703
MELEE_ATTACK,161,3,1.166379545,0.679152102,0.999156118,1.009449351
MELEE_ATTACK,162,218,1.276148406,0.940022379,1.283984928,2.483582596
MELEE_ATTACK,163,172,1.686642874,0.948939627,1.755807448,4.410453747
MELEE_ATTACK,164,2,1.262882294,1.735013732,2.217087628,2.833105849
MELEE_ATTACK,165,13,1.191990987,0.718036676,1.189258312,2.236580132
MELEE_ATTACK,166,3,1.331960335,2.690973345,2.764568765,4.946058997
MELEE_ATTACK,167,88,2.565000966,1.248413603,3.051967854,5.072510560
MELEE_ATTACK,168,50,1.200005157,1.011750826,1.202508091,2.356399463
MELEE_ATTACK,169,85,1.270204510,0.661315837,1.288888889,2.577777778
MELEE_ATTACK,172,9,1.103836940,0.731370516,0.927500000,1.437600764
MELEE_ATTACK,198,10,1.077791673,0.705212728,0.878542386,1.119455028
MELEE_ATTACK,199,27,1.049370411,0.604745846,0.953790984,1.144085848
MELEE_ATTACK,200,47,0.560248515,0.271077931,0.406047078,0.709365946
MELEE_ATTACK,201,258,1.418220526,0.410954963,1.437288632,2.822492907
MELEE_ATTACK,202,27,1.049675983,0.392777545,0.954274510,1.133917049
MELEE_ATTACK,203,40,1.100143501,0.676545977,1.056120733,1.327844448
MELEE_ATTACK,204,5,1.161934548,0.432511386,1.042857143,1.741606814
MELEE_ATTACK,205,3,1.123184345,0.668868823,0.748144483,0.953307608
MELEE_ATTACK,207,6,1.104538074,0.710748228,0.852537335,1.114498597
MELEE_ATTACK,208,4,1.145647426,0.457938866,0.932613123,0.966479584
MELEE_ATTACK,209,30,0.851783046,0.447971166,0.680144309,1.668591641
MELEE_ATTACK,210,27,0.966587681,0.435432912,0.826666667,1.219864428
MELEE_ATTACK,211,8,1.719505862,2.986419723,4.281644668,20.000000000
MELEE_ATTACK,212,7,1.417863040,1.109751891,2.317934473,20.000000000
MELEE_ATTACK,213,9,1.172816653,0.912318428,1.127559748,1.253332647
MELEE_ATTACK,214,7,1.077447792,0.669032180,0.803864734,1.194120170
MELEE_ATTACK,217,9,1.130839932,0.617491841,1.002616959,1.413171102
MELEE_ATTACK,234,56,1.318844418,0.917540376,1.366621023,2.031980600
MELEE_ATTACK,235,216,1.010573104,0.619437540,0.995103768,1.291062123
MELEE_ATTACK,237,15,1.340927493,1.140293776,1.565733537,3.040271923
MELEE_ATTACK,238,56,1.573476061,0.803673172,1.736583184,3.763271131
MELEE_ATTACK,239,33,1.438160426,1.101184747,1.610013175,2.867087727
