scope,spell_id,spell_name,actor_creature_id,target_creature_id,samples,median_damage
ST,1762755373,magicarrow,0,309,1,29.000000
ST,1762755373,magicarrow,0,314,1,9.000000
ST,1762755373,magicarrow,0,318,1,547.000000
ST,1762755373,magicarrow,0,534,2,429.000000
ST,1762755373,magicarrow,0,646,1,214.000000
ST,1762755373,magicarrow,0,1114,5,48.000000
ST,2077100434,magicfist,0,17,1,32.000000
ST,2077100434,magicfist,0,28,7,66.000000
ST,2077100434,magicfist,0,33,1,35.000000
ST,2077100434,magicfist,0,43,1,72.000000
ST,2077100434,magicfist,0,45,1,150.000000
ST,2077100434,magicfist,0,53,4,102.000000
ST,2077100434,magicfist,0,68,1,0.000000
ST,2077100434,magicfist,0,101,1,235.000000
ST,2077100434,magicfist,0,118,6,35.000000
ST,2077100434,magicfist,0,123,2,203.000000
ST,2077100434,magicfist,0,125,2,203.000000
ST,2077100434,magicfist,0,146,8,72.500000
ST,2077100434,magicfist,0,162,1,80.000000
ST,2077100434,magicfist,0,165,6,85.000000
ST,2077100434,magicfist,0,167,2,246.500000
ST,2077100434,magicfist,0,169,2,80.000000
ST,2077100434,magicfist,0,234,5,35.000000
ST,2077100434,magicfist,0,235,1,36.000000
ST,2077100434,magicfist,0,239,1,75.000000
ST,2077100434,magicfist,0,253,2,75.000000
ST,2077100434,magicfist,0,255,1,42.000000
ST,2077100434,magicfist,0,257,3,35.000000
ST,2077100434,magicfist,0,261,1,42.000000
ST,2077100434,magicfist,0,300,3,70.000000
ST,2077100434,magicfist,0,309,2,175.000000
ST,2077100434,magicfist,0,311,1,827.000000
ST,2077100434,magicfist,0,314,1,260.000000
ST,2077100434,magicfist,0,320,2,36.500000
ST,2077100434,magicfist,0,341,1,75.000000
ST,2077100434,magicfist,0,413,1,180.000000
ST,2077100434,magicfist,0,433,1,96.000000
ST,2077100434,magicfist,0,513,3,339.000000
ST,2077100434,magicfist,0,514,2,197.000000
ST,2077100434,magicfist,0,534,2,293.000000
ST,2077100434,magicfist,0,578,1,75.000000
ST,2077100434,magicfist,0,587,1,30.000000
ST,2077100434,magicfist,0,612,6,28.000000
ST,2077100434,magicfist,0,626,1,20.000000
ST,2077100434,magicfist,0,635,2,30.500000
ST,2077100434,magicfist,0,641,1,53.000000
ST,2077100434,magicfist,0,930,1,329.000000
ST,2077100434,magicfist,0,1114,2,22.000000
ST,2077100434,magicfist,0,1282,3,203.000000
ST,15153311,swarm,0,4,1,240.000000
ST,15153311,swarm,0,10,6,240.000000
ST,15153311,swarm,0,17,6,240.000000
ST,15153311,swarm,0,21,6,240.000000
ST,15153311,swarm,0,31,1,240.000000
ST,15153311,swarm,0,47,1,50.000000
ST,15153311,swarm,0,199,1,240.000000
ST,15153311,swarm,0,207,1,30.000000
ST,15153311,swarm,0,257,1,14.000000
ST,15153311,swarm,0,289,1,10.000000
ST,15153311,swarm,0,318,1,10.000000
ST,15153311,swarm,0,445,1,20.000000
ST,15153311,swarm,0,534,2,11.000000
ST,15153311,swarm,0,601,11,240.000000
ST,15153311,swarm,0,624,1,240.000000
ST,15153311,swarm,0,631,1,60.000000
ST,15153311,swarm,0,731,4,235.000000
ST,15153311,swarm,0,753,1,53.000000
ST,15153311,swarm,0,770,13,240.000000
ST,15153311,swarm,0,791,1,235.000000
ST,15153311,swarm,0,792,1,30.000000
ST,15153311,swarm,0,852,1,3.000000
ST,15153311,swarm,0,918,4,240.000000
ST,15153311,swarm,0,930,10,235.000000
ST,15153311,swarm,0,939,1,240.000000
ST,15153311,swarm,0,946,6,240.000000
ST,15153311,swarm,0,1037,1,20.000000
ST,15153311,swarm,0,1062,3,235.000000
ST,15153311,swarm,0,1146,1,30.000000
ST,15153311,swarm,0,1319,1,30.000000
ST,15153311,swarm,0,1381,2,42.500000
